,id,M,A,stage,zscore,p.value,fdr
344,LTR37B,0.0732598912045826,10.5789713439746,oocyte,1.65779456180917,0.0973589393530157,0.132342656093014
345,LTR86B2,0.220365307957897,7.34499898570972,oocyte,1.62568953010687,0.104015718436954,0.140960325747641
346,MER72B,0.225295249788083,7.27103227114172,oocyte,1.61999348268257,0.105233676914866,0.142393818534727
347,RMER17A2,0.0207931714472097,14.136554510579,oocyte,1.61495300468136,0.106320872399201,0.143646285049984
348,RLTR13B4,0.0466098683889938,11.7919637409553,oocyte,1.60593779933681,0.108287577257945,0.14608142061049
349,LTR40c,0.077453234462175,10.3121121475311,oocyte,1.597850128284,0.110076335375092,0.148269488103722
350,MER95,0.178530206178727,7.83770288790138,oocyte,1.56230505960155,0.118216140658867,0.157326570427744
351,MLT1F2,0.0229389762730205,13.6495789375093,oocyte,1.50481514373428,0.132371609244415,0.174338312027089
352,LTR53B,0.117361265146018,8.92721811042898,oocyte,1.49819706377322,0.134082058295092,0.176329807432451
353,FAM,0.168297615585735,7.84970489153516,oocyte,1.47889925256548,0.139167243155045,0.182208658563822
354,IAPEY3C_LTR,0.0561302310818657,10.9686538606055,oocyte,1.45384249386499,0.145989979171778,0.190860428652515
355,L4_A_Mam,0.0464666504621018,11.4443493316699,oocyte,1.41927381004564,0.15581920449406,0.202227730212913
356,RLTR9A4,0.172726381577423,7.6511052532744,oocyte,1.41685983245329,0.156523912300031,0.202842212878612
357,LTR73,0.0903056889674044,9.51887936993915,oocyte,1.41518995046957,0.157012810238058,0.203179604514751
358,RLTR20A2,0.0556625854558332,10.9073796249009,oocyte,1.4114343433552,0.158116582425913,0.204310525838135
359,MLTR31F_MM,0.0444787953952818,11.499194413556,oocyte,1.38462935227531,0.166165831479513,0.214399744826251
360,MLTR31A_MM,0.0474249075367021,11.2824152529659,oocyte,1.36948071293021,0.170849059646822,0.220122918878296
361,MER50B,0.414566387257366,5.00701023515747,oocyte,1.36014518310504,0.173783985297025,0.223580264730905
362,LTR64,0.432184687370466,4.88243579536805,oocyte,1.35803267011155,0.174453317805401,0.224117051342488
363,L5,0.100100169835782,9.09616808201553,oocyte,1.35490505647607,0.175447808436119,0.225069410822092
364,MER57E2,0.144096127796255,8.02864686062983,oocyte,1.34724500212521,0.177901338615646,0.227888025978831
365,HERVL40-int,0.0686068215143863,10.0477706260593,oocyte,1.29144246329697,0.196550294211258,0.250334113973938
366,LTR50,0.0429189826807971,11.3903110316848,oocyte,1.28658952939149,0.19823739513834,0.25212166563374
367,L1M3c,0.0568332522516867,10.5579910879688,oocyte,1.27675911290515,0.201687304658193,0.255777480515169
368,RLTR20C2_MM,0.0179052515208134,13.8647646217252,oocyte,1.26558524310007,0.205661612072843,0.260075637457692
369,RLTR20B3,0.0275990537298578,12.4971161132441,oocyte,1.21421416010959,0.224665954635657,0.281307089677605
370,RLTR5_Mm,0.0633898634016824,10.0767840559604,oocyte,1.20529865546156,0.228088028484001,0.285074144144081
371,MER21C,0.0186605950324659,13.5790150678196,oocyte,1.19456497351117,0.232257041088408,0.289182786453214
372,LTR103b_Mam,0.133438665719084,7.83220975297822,oocyte,1.16549125354173,0.243820198594635,0.302732062221551
373,B4A,0.00284675440397894,18.8901855177589,oocyte,1.15634274264192,0.247540991695059,0.306911413285466
374,CR1-12_AMi,0.135313604551689,7.70862958973552,oocyte,1.13231693805336,0.257501211525885,0.317942468120156
375,MLTR31C_MM,0.0481448701768097,10.6630443738242,oocyte,1.12168083162771,0.26199816947511,0.323046286634359
376,ORR1G-int,0.0829999552494779,8.98645905117853,oocyte,1.08153056486337,0.279461172211324,0.343625148127063
377,RMER16A2,0.0504437925535005,10.396388793653,oocyte,1.07149364829809,0.283947525149626,0.348240803477849
378,LTR16A1,0.0313676622335383,11.7667908773481,oocyte,1.07138043682284,0.283998405535929,0.348240803477849
379,RNERVK23-int,0.137060933435461,7.39872944295755,oocyte,1.03013785861208,0.302945295543775,0.370451675018454
380,MTEb-int,0.0256040410769643,12.1746388593793,oocyte,1.00731330571467,0.313784237651714,0.381606275338405
381,MLT1A1-int,0.0563167841906471,9.88624911218172,oocyte,1.00238252191081,0.31615888028093,0.383968913346649
